Id,0
1400000US36047037900,English
1400000US36047038100,English
1400000US36047038200,English
1400000US36047038300,English
1400000US36047038500,English
1400000US36047038600,Chinese
1400000US36047038700,English
1400000US36047038800,English
1400000US36047038900,Spanish or Spanish Creole
1400000US36047039000,English
1400000US36047039100,Spanish or Spanish Creole
1400000US36047039200,English
1400000US36047039300,English
1400000US36047039400,English
1400000US36047039500,English
1400000US36047039600,English
1400000US36047039700,English
1400000US36047039800,Chinese
1400000US36047039900,English
1400000US36047040000,Chinese
1400000US36047040100,English
1400000US36047040200,Chinese
1400000US36047040300,English
1400000US36047040400,English
1400000US36047040500,English
1400000US36047040600,Chinese
1400000US36047040700,English
1400000US36047040800,Chinese
1400000US36047040900,Spanish or Spanish Creole
1400000US36047041000,English
1400000US36047041100,Spanish or Spanish Creole
1400000US36047041200,English
1400000US36047041300,Spanish or Spanish Creole
1400000US36047041401,English
1400000US36047041402,English
1400000US36047041500,Spanish or Spanish Creole
1400000US36047041600,English
1400000US36047041700,Spanish or Spanish Creole
1400000US36047041800,English
1400000US36047041900,Spanish or Spanish Creole
1400000US36047042000,English
1400000US36047042100,Spanish or Spanish Creole
1400000US36047042200,English
1400000US36047042300,Spanish or Spanish Creole
1400000US36047042400,English
1400000US36047042500,Spanish or Spanish Creole
1400000US36047042600,Chinese
1400000US36047042700,Spanish or Spanish Creole
1400000US36047042800,Russian
1400000US36047042900,Spanish or Spanish Creole
1400000US36047043000,Chinese
1400000US36047043100,Spanish or Spanish Creole
1400000US36047043200,Chinese
1400000US36047043300,Spanish or Spanish Creole
1400000US36047043400,English
1400000US36047043500,Spanish or Spanish Creole
1400000US36047043600,Russian
1400000US36047043700,Spanish or Spanish Creole
1400000US36047043800,English
1400000US36047043900,Spanish or Spanish Creole
1400000US36047044000,English
1400000US36047044100,Spanish or Spanish Creole
1400000US36047044200,English
1400000US36047044300,Spanish or Spanish Creole
1400000US36047044400,English
1400000US36047044500,Spanish or Spanish Creole
1400000US36047044600,English
1400000US36047044700,English
1400000US36047044800,English
1400000US36047044900,English
1400000US36047045000,English
1400000US36047045200,English
1400000US36047045300,English
1400000US36047045400,English
1400000US36047045600,English
1400000US36047045800,English
1400000US36047046000,English
1400000US36047046201,English
1400000US36047046202,English
1400000US36047046400,Yiddish
1400000US36047046800,English
1400000US36047047000,Yiddish
1400000US36047047200,Yiddish
1400000US36047047400,Yiddish
1400000US36047047600,Yiddish
1400000US36047047700,English
1400000US36047047800,Yiddish
1400000US36047048000,English
1400000US36047048100,English
1400000US36047048200,English
1400000US36047048400,English
1400000US36047048500,English
1400000US36047048600,Spanish or Spanish Creole
1400000US36047048800,English
1400000US36047048900,Spanish or Spanish Creole
1400000US36047049000,English
1400000US36047049100,Chinese
1400000US36047049200,English
1400000US36047049300,Spanish or Spanish Creole
1400000US36047049400,English
1400000US36047049500,English
1400000US36047049600,English
1400000US36047049700,English
1400000US36047049800,English
1400000US36047049900,English
1400000US36047050000,English
1400000US36047050100,English
1400000US36047050202,English
1400000US36047050300,English
1400000US36047050400,English
1400000US36047050500,Spanish or Spanish Creole
1400000US36047050600,English
1400000US36047050700,Yiddish
1400000US36047050801,English
1400000US36047050803,English
1400000US36047050804,English
1400000US36047050900,Yiddish
1400000US36047051001,English
1400000US36047051002,English
1400000US36047051100,English
1400000US36047051200,English
1400000US36047051300,English
1400000US36047051400,English
1400000US36047051500,English
1400000US36047051601,English
1400000US36047051602,English
1400000US36047051700,English
1400000US36047051800,English
1400000US36047051900,English
1400000US36047052000,English
1400000US36047052300,Spanish or Spanish Creole
1400000US36047052500,Yiddish
1400000US36047052600,English
1400000US36047052700,Spanish or Spanish Creole
1400000US36047052800,English
1400000US36047052900,Yiddish
1400000US36047053000,English
1400000US36047053100,Yiddish
1400000US36047053200,English
1400000US36047053300,Yiddish
1400000US36047053400,English
1400000US36047053500,Yiddish
1400000US36047053700,Yiddish
1400000US36047053800,Russian
1400000US36047053900,Yiddish
1400000US36047054200,English
1400000US36047054300,English
1400000US36047054400,English
1400000US36047054500,Yiddish
1400000US36047054600,English
1400000US36047054700,Yiddish
1400000US36047054800,English
1400000US36047054900,English
1400000US36047055000,Russian
1400000US36047055100,Spanish or Spanish Creole
1400000US36047055200,Russian
1400000US36047055300,English
1400000US36047055400,Russian
1400000US36047055500,English
1400000US36047055600,English
1400000US36047055700,English
1400000US36047055800,English
1400000US36047056000,English
1400000US36047056100,English
1400000US36047056200,English
1400000US36047056300,English
1400000US36047056400,English
1400000US36047056500,English
1400000US36047056600,English
1400000US36047056800,English
1400000US36047056900,English
1400000US36047057000,English
1400000US36047057100,English
1400000US36047057200,English
1400000US36047057300,English
1400000US36047057400,English
1400000US36047057500,English
1400000US36047057600,English
1400000US36047057800,English
1400000US36047057900,English
1400000US36047058000,English
1400000US36047058200,English
1400000US36047058400,English
1400000US36047058600,Chinese
1400000US36047058800,Russian
1400000US36047058900,English
1400000US36047059000,English
1400000US36047059100,English
1400000US36047059200,Russian
1400000US36047059300,English
1400000US36047059401,Russian
1400000US36047059402,English
1400000US36047059600,English
1400000US36047059800,English
1400000US36047060000,Russian
1400000US36047060600,Russian
1400000US36047060800,Russian
1400000US36047061002,Russian
1400000US36047061003,Spanish or Spanish Creole
1400000US36047061004,Russian
1400000US36047061200,English
1400000US36047061600,Russian
1400000US36047062000,Russian
1400000US36047062200,English
1400000US36047062600,English
1400000US36047062800,English
1400000US36047063200,English
1400000US36047063600,English
1400000US36047063800,English
1400000US36047064000,English
1400000US36047064200,English
1400000US36047064400,English
1400000US36047064600,English
1400000US36047064800,English
1400000US36047065000,English
1400000US36047065200,English
1400000US36047065400,English
1400000US36047065600,English
1400000US36047065800,English
1400000US36047066000,English
1400000US36047066200,English
1400000US36047066600,English
1400000US36047067000,English
1400000US36047067200,English
1400000US36047067400,English
1400000US36047067600,English
1400000US36047067800,English
1400000US36047068000,English
1400000US36047068200,English
1400000US36047068600,English
1400000US36047068800,English
1400000US36047069000,English
1400000US36047069200,English
1400000US36047069601,English
1400000US36047069602,English
1400000US36047069800,English
1400000US36047070000,English
1400000US36047070201,English
1400000US36047070202,English
1400000US36047070203,English
1400000US36047070600,English
1400000US36047072000,English
1400000US36047072200,English
1400000US36047072400,English
1400000US36047072600,English
1400000US36047072800,English
1400000US36047073000,English
1400000US36047073200,English
1400000US36047073400,English
1400000US36047073600,English
1400000US36047073800,English
1400000US36047074000,English
1400000US36047074200,English
1400000US36047074400,English
1400000US36047074600,English
1400000US36047074800,English
1400000US36047075000,English
1400000US36047075200,English
1400000US36047075400,English
1400000US36047075600,English
1400000US36047075800,English
1400000US36047076000,English
1400000US36047076200,English
1400000US36047076400,English
1400000US36047076600,English
1400000US36047076800,English
1400000US36047077000,English
1400000US36047077200,English
1400000US36047077400,English
1400000US36047077600,English
1400000US36047078000,English
1400000US36047078200,English
1400000US36047078400,English
1400000US36047078600,English
1400000US36047078800,English
1400000US36047079000,English
1400000US36047079200,English
1400000US36047079400,English
1400000US36047079601,English
1400000US36047079602,English
1400000US36047079801,English
1400000US36047079802,English
1400000US36047080000,English
1400000US36047080200,English
1400000US36047080400,English
1400000US36047080600,English
1400000US36047080800,English
1400000US36047081000,English
1400000US36047081400,English
1400000US36047081600,English
1400000US36047081800,English
1400000US36047082000,English
1400000US36047082200,English
1400000US36047082400,English
1400000US36047082600,English
1400000US36047082800,English
1400000US36047083000,English
1400000US36047083200,English
1400000US36047083400,English
1400000US36047083600,English
1400000US36047083800,English
1400000US36047084000,English
1400000US36047084600,English
1400000US36047084800,English
1400000US36047085000,English
1400000US36047085200,English
1400000US36047085400,English
1400000US36047085600,English
1400000US36047085800,English
1400000US36047086000,English
1400000US36047086200,English
1400000US36047086400,English
1400000US36047086600,English
1400000US36047086800,English
1400000US36047087000,English
1400000US36047087200,English
1400000US36047087401,English
1400000US36047087600,English
1400000US36047087800,English
1400000US36047088000,English
1400000US36047088200,English
1400000US36047088400,English
1400000US36047088600,English
1400000US36047088800,English
