Id,Total,English,Spanish or Spanish Creole,Spanish or Spanish Creole LEP,"French (incl. Patois, Cajun)","French (incl. Patois, Cajun) LEP",French Creole,French Creole LEP,Italian,Italian LEP,Portuguese or Portuguese Creole,Portuguese or Portuguese Creole LEP,German,German LEP,Yiddish,Yiddish LEP,Other West Germanic languages,Other West Germanic languages LEP,Scandinavian languages,Scandinavian languages LEP,Greek,Greek LEP,Russian,Russian LEP,Polish,Polish LEP,Serbo-Croatian,Serbo-Croatian LEP,Other Slavic languages,Other Slavic languages LEP,Armenian,Armenian LEP,Persian,Persian LEP,Gujarati,Gujarati LEP,Hindi,Hindi LEP,Urdu,Urdu LEP,Other Indic languages,Other Indic languages LEP,Other Indo-European languages,Other Indo-European languages LEP,Chinese,Chinese LEP,Japanese,Japanese LEP,Korean,Korean LEP,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian LEP",Hmong,Hmong LEP,Thai,Thai LEP,Laotian,Laotian LEP,Vietnamese,Vietnamese LEP,Other Asian languages,Other Asian languages LEP,Tagalog,Tagalog LEP,Other Pacific Island languages,Other Pacific Island languages LEP,Navajo,Navajo LEP,Other Native North American languages,Other Native North American languages LEP,Hungarian,Hungarian LEP,Arabic,Arabic LEP,Hebrew,Hebrew LEP,African languages,African languages LEP,Other and unspecified languages,Other and unspecified languages LEP,county
1400000US36047007500,4462,2982,622,85,337,63,0,0,23,0,0,0,76,0,0,0,0,0,45,0,0,0,1,1,38,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,15,15,195,130,46,46,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0, Kings County
1400000US36047007600,4375,877,2495,1597,90,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,752,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,8,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0, Kings County
1400000US36047007700,4092,2734,539,189,281,144,0,0,74,14,8,0,69,0,0,0,0,0,0,0,72,0,93,68,16,0,0,0,0,0,0,0,71,34,13,0,0,0,0,0,0,0,0,0,46,7,57,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0, Kings County
1400000US36047007800,5050,811,3759,2514,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,298,197,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0, Kings County
1400000US36047008000,4068,966,2664,1646,36,8,0,0,10,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,233,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,8,8,0,0,0,0,0,0,70,32,0,0,0,0,0,0, Kings County
1400000US36047008200,3991,778,2553,1319,0,0,0,0,13,0,9,9,0,0,0,0,0,0,0,0,0,0,18,18,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,350,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,0,8,8,0,0,0,0,0,0,0,0,30,19,0,0,0,0,0,0, Kings County
1400000US36047008400,3599,653,2640,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,56,8,6,50,28,0,0,0,0,43,22,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,93,30,0,0,0,0,0,0, Kings County
1400000US36047008500,6674,3908,2444,1062,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,232,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Kings County
1400000US36047008600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Kings County
1400000US36047008800,3010,757,1655,1071,0,0,0,0,0,0,0,0,0,0,105,78,0,0,27,0,33,0,11,0,162,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22, Kings County
