Id,0
1400000US36005040600,African languages
1400000US36005040701,African languages
1400000US36005040702,Other Indo-European languages
1400000US36005040800,African languages
1400000US36005040900,African languages
1400000US36005041100,African languages
1400000US36005041300,Other Indo-European languages
1400000US36005041400,African languages
1400000US36005041500,African languages
1400000US36005041800,"French (incl. Patois, Cajun)"
1400000US36005041900,Other Indic languages
1400000US36005042000,African languages
1400000US36005042100,Arabic
1400000US36005042200,African languages
1400000US36005042300,Other Indic languages
1400000US36005042400,African languages
1400000US36005042500,Other Indic languages
1400000US36005042600,African languages
1400000US36005042800,African languages
1400000US36005042901,Other Indic languages
1400000US36005042902,Other Indic languages
1400000US36005043000,"French (incl. Patois, Cajun)"
1400000US36005043100,Other Indic languages
1400000US36005043400,Polish
1400000US36005043500,"French (incl. Patois, Cajun)"
1400000US36005043600,"French (incl. Patois, Cajun)"
1400000US36005044200,Other Indo-European languages
1400000US36005044400,African languages
1400000US36005044800,French Creole
1400000US36005044901,Hebrew
1400000US36005044902,Serbo-Croatian
1400000US36005045101,Other Indo-European languages
1400000US36005045102,Other Indo-European languages
1400000US36005045600,Italian
1400000US36005045800,"French (incl. Patois, Cajun)"
1400000US36005046000,French Creole
1400000US36005046201,African languages
1400000US36005046202,African languages
1400000US36005048400,African languages
1400000US36005050400,French Creole
1400000US36005051600,Tagalog
1400000US36047000100,Polish
1400000US36047000200,Arabic
1400000US36047000301,Italian
1400000US36047000501,Chinese
1400000US36047000502,"French (incl. Patois, Cajun)"
1400000US36047000700,German
1400000US36047000900,Chinese
1400000US36047001100,"French (incl. Patois, Cajun)"
1400000US36047001300,Chinese
1400000US36047001500,Chinese
1400000US36047001800,African languages
1400000US36047002000,Tagalog
1400000US36047002100,Hebrew
1400000US36047002200,Chinese
1400000US36047002300,Chinese
1400000US36047002901,Chinese
1400000US36047003000,Arabic
1400000US36047003100,Chinese
1400000US36047003300,Arabic
1400000US36047003400,Arabic
1400000US36047003500,French Creole
1400000US36047003600,Chinese
1400000US36047003700,Arabic
1400000US36047003800,Chinese
1400000US36047003900,"French (incl. Patois, Cajun)"
1400000US36047004100,Chinese
1400000US36047004300,Arabic
1400000US36047004400,Greek
1400000US36047004500,"French (incl. Patois, Cajun)"
1400000US36047004600,Greek
1400000US36047004700,Italian
1400000US36047004900,Urdu
1400000US36047005000,Greek
1400000US36047005100,Japanese
1400000US36047005201,Russian
1400000US36047005202,Russian
1400000US36047005300,German
1400000US36047005400,Russian
1400000US36047005601,Russian
1400000US36047005602,Chinese
1400000US36047005800,Greek
1400000US36047005900,"French (incl. Patois, Cajun)"
1400000US36047006000,Chinese
1400000US36047006200,Arabic
1400000US36047006300,Italian
1400000US36047006400,Arabic
1400000US36047006500,"French (incl. Patois, Cajun)"
1400000US36047006600,Arabic
1400000US36047006700,Italian
1400000US36047006800,Arabic
1400000US36047006900,Arabic
1400000US36047007000,Arabic
1400000US36047007100,"French (incl. Patois, Cajun)"
1400000US36047007200,Chinese
1400000US36047007400,Chinese
1400000US36047007500,"French (incl. Patois, Cajun)"
1400000US36047007600,Chinese
1400000US36047007700,"French (incl. Patois, Cajun)"
1400000US36047007800,Chinese
1400000US36047008000,Chinese
1400000US36047008200,Chinese
1400000US36047008400,Arabic
1400000US36047008500,Chinese
1400000US36047008600,"French (incl. Patois, Cajun)"
1400000US36047008800,Chinese
1400000US36047009000,Chinese
1400000US36047009200,Chinese
1400000US36047009400,Chinese
1400000US36047009600,Chinese
1400000US36047009800,Chinese
1400000US36047010000,Chinese
1400000US36047010100,Arabic
1400000US36047010200,Chinese
1400000US36047010400,Chinese
1400000US36047010600,Chinese
1400000US36047010800,Chinese
1400000US36047011000,Chinese
1400000US36047011200,Yiddish
1400000US36047011400,Yiddish
