advisor,author,project_format,title,year,title_word_count,title_clean
Janeway,"Friedmann, Carl",Print,"In Search Of Luc Sante: Immigrant, Author, Time Traveler",2000,9,search luc sante immigrant author time traveler
Mccarthy,"Gable, Eryn",Print,"Bye, Bye Eddie Eagle: Nra'S Feathered Mascot Loses Ground In New York",2000,12,bye bye eddie eagle nras feathered mascot loses ground
Mccarthy,"Gardiner, Jill",Print,New York City Club Owners Cry The Blues: Can A Music Tradition Survive?,2000,13,club owners cry blues music tradition survive
Agus,"Gardner, Jule",Print,"One Student, One Movement: How The United Students Against Sweatshops Unraveled The Collegiate Apparel Industry",2000,15,one student one movement united students sweatshops unraveled collegiate apparel industry
Wolff,"Garrity, Brian",Print,New Jack Banking: Ron Blaylock'S Minority Wall Street Revolution,2000,9,jack banking ron blaylocks minority wall street revolution
Benedict,"Gelb, Jonathan",Print,Early Exposure: High School Stars In Basketball'S Spotlight,2000,8,early exposure high school stars basketballs spotlight
Hancock,"Gesualdo, Nicole",Print,A Jury Of Their Peers: Teens Judging Teens In Harlem,2000,10,jury peers teens judging teens harlem
Cross,"Goldberg, Nick",Video,"La Playita-- ""The Little Beach""",2000,5,la playita little beach
Brief,"Goldman, Michael",Print,Making Crime Pay: The Privatization Of America'S Prisons,2000,8,making crime pay privatization americas prisons
Gissler,"Good, Owen",Print,The Rebels Of Red Hook,2000,5,rebels red hook
Hancock,"Green Morse, Kristin",Print,Intercollegiate Coaching: Can Women Play?,2000,5,intercollegiate coaching women play
"Johnson, D.","Greene, Laura",Print,Children Of The Twilight,2000,4,children twilight
Goldman,"Gurwitt, Andrea",Print,Plain Or Pumpkin?: The Assimilation Of The Bagel,2000,8,plain pumpkin assimilation bagel
Ross,"Hansen, Chris",Print,Harm Reduction,2000,2,harm reduction
Porter,"Harrington, Shannon",Print,Peddling On 34Th Street: How A Young Immigrant Survives In A Cat-And-Mouse Game With The Nypd,2000,16,peddling 34th street young immigrant survives catandmouse game nypd
Williston,"Harris, Shayla",Print,The Ballot Or The Bullet: Felony Voting Laws In New York State,2000,12,ballot bullet felony voting laws state
Hancock,"Hegedus, Nathan",Print,Balkan New York: The Ambivalent Americans,2000,6,balkan ambivalent americans
Sharkey,"Herper, Matt",Print,"Lab Life: ""You'Re Learning Like Crazy""",2000,6,lab life youre learning like crazy
Ross,"Herr, Robin",Print,Prisoner Of Fashion: The Story Of An American Garment Worker,2000,10,prisoner fashion story american garment worker
Ross,"Hjelt, Paola",Print,Spina Bifida: One Family'S Testimony,2000,5,spina bifida one familys testimony
Hoyt,"Ho, Dorothy",Print,The Blue Wall Of Suicide Crumbles,2000,6,blue wall suicide crumbles
Ross,"Husti-James, Deborah",Print,The Decline Of Femininity,2000,4,decline femininity
Benedict,"Jacobs, Susan",Print,When Shyness Becomes A Disorder,2000,5,shyness becomes disorder
Janeway,"Jacobs, Farrin",Print,The Strange Moments Of Mary Ellen Mark,2000,7,strange moments mary ellen mark
Reisig,"Janis, Lauren",Print,Pet Therapy,2000,2,pet therapy
Wolff,"Jaworski, Alexa",Print,The Listener,2000,2,listener
Sreenivasan,"Jeremy-Mills, Lila",Print,Lost And Found: Spirituality In The Lives Of Homeless Men,2000,10,lost found spirituality lives homeless men
Agus,"Johnson, Darv",Print,The Nature Conservancy'S Corporate Connections,2000,5,nature conservancys corporate connections
Garland,"Johnson, Oscar",Print,Underdeveloped El Barrio: Harlem'S Economic Renaissance Leaves East Harlem In The Lurch,2000,12,underdeveloped el barrio harlems economic renaissance leaves east harlem lurch
Williston,"Kakoulas, Marisa",Print,The Outlaws Of East Third Street: The New York Hell'S Angels,2000,11,outlaws east third street hells angels
Hoyt,"Kalita, S. Mitra",Print,How Much Does A Shadow Weigh? Confessions From (Formerly) Fat Girls,2000,11,much shadow weigh confessions formerly fat girls
Wald,"Kallender, Paul",Print,Die Hard:The Battle For New York'S Dead,2000,7,die hardthe battle yorks dead
Reisig,"Kanter, Sarah",Print,Fear And Loathing In New York: People'S Republic Of China Surveillance Of Overseas Chinese,2000,14,fear loathing peoples republic china surveillance overseas chinese
Reisig,"Kazakina, Katya",Print,Lox And Grits: Intermarriage Between Jews And Blacks,2000,8,lox grits intermarriage jews blacks
Wolff,"Kim, Yun-Hee",Print,Searching For Her Identity: A Korean Orphan'S Journey In America,2000,10,searching identity korean orphans journey america
Brief,"Kitchens, Susan",Print,Destiny'S Future: The Story Of A Woman And Her Baby Behind The Statistics Of Infant Death In Brownsville,2000,18,destinys future story woman baby behind statistics infant death brownsville
Navasky,"Korengel, Kathy",Print,Don'T Dump On Us: Or How A North Brooklyn Neighborhood Took On City Hall And Won (At Least Once),2000,19,dont dump us north brooklyn neighborhood took hall least
Padwe,"Kronick, Jordan",Print,The Relocation Game: Why Robert Kraft Said No To The Most Lucrative Stadium Deal In Nfl History,2000,17,relocation game robert kraft said lucrative stadium deal nfl history
Agus,"Kuffner, Alex",Print,A New Epidemic For A New Millennium,2000,7,epidemic millennium
Muha,"Kukes, Maya",Print,Young And Gay: Can It Ever Be Easy?,2000,8,young gay ever easy
Janeway,"Kummert, Florian",Print,A Silent Majority: The Suppression Of German-Ness In The United States,2000,11,silent majority suppression germanness united states
Cornog,"Lanzilotti, Christopher",Print,Transmitting Peace: New York'S Afghan Community Works For Peace In Afghanistan,2000,11,transmitting peace yorks afghan community works peace afghanistan
Williston,"Lau, Joon-Nie",Video,"Blue Sky Station: 8Th Avenue, ""New York'S 3Rd Chinatown""",2000,9,blue sky station 8th avenue yorks 3rd chinatown
Navasky,"Lee, Ellen",Print,A Door Closed: The End Of Open Admissions At The City University Of New York,2000,15,door closed end open admissions university
Navasky,"Lehner, Marla",Print,The Legacy Of Jonas Mekas: The History Of An Experimental Film Legend,2000,12,legacy jonas mekas history experimental film legend
Porter,"Leitsinger, Miranda",Print,African-American Grandmothers Raising Grandkids,2000,4,africanamerican grandmothers raising grandkids
Sharkey,"Lennon, Robert",Print,Friends: Profile Of A Gay Male--Straight Female Friendship,2000,8,friends profile gay malestraight female friendship
Garland,"Lerner, Kevin",Print,Making Somewhere: The Revitalization Of The Staten Island Waterfront,2000,9,making somewhere revitalization staten island waterfront
Isaacs,"Leston, Natalie",Print,The Future Of Global Warming,2000,5,future global warming
Muha,"Lewicki, Greg",Print,The Other Person,2000,3,person
Williston,"Li, Qin",Video,"Blue Sky Station: 8Th Avenue, ""New York'S 3Rd Chinatown""",2000,9,blue sky station 8th avenue yorks 3rd chinatown
Tucher,"Liebert, Nicola",Print,The Frog And The City: The Community Gardens Of The Lower East Side And Their Fight For Survival,2000,18,frog community gardens lower east side fight survival
Buckley,"Lin-Liu, Jen",Print,The Education Of Steven Wong,2000,5,education steven wong
Topping,"Lisagor, Megan",Print,Making Their Mark,2000,3,making mark
Cross,"Livne, Orna",Video,Beyond The Yellow Line: The Ronald Christopher Story,2000,8,beyond yellow line ronald christopher story
"Johnson, D.","Llinas, Wendy C.",Print,From Welfare To Work,2000,4,welfare work
Wald,"Lodge Turck, Anneliese",Print,"""Your Pet Could Be Worth $23 Billion""",2000,7,pet could worth 23 billion
Gissler,"Losciale, Alessandra",Print,The Long White Dress: Latina Professionals Hunt For A Mate In Manhattan,2000,12,long white dress latina professionals hunt mate manhattan
Holloway,"Lubick, Naomi",Print,Where The Girls Aren'T: The Absence Of Women Scientists In The Upper Ranks Of Academia,2000,15,girls arent absence women scientists upper ranks academia
Buckley,"Lucey, Stephen",Print,Kids At Play: The Rise Of Teenage Investors,2000,8,kids play rise teenage investors
Cornog,"Lugones, Paula",Print,Passion For Perfection: Four Generations Of One Family At Steinway & Sons,2000,12,passion perfection four generations one family steinway sons
Wolff,"Lyman, Brian",Print,The Education Of Julio Medina,2000,5,education julio medina
Dribben,"Maciulis, Tony",Radio,Love Is For All Times,2000,5,love times
Agus,"Mank, Robert",Print,Leaving Welfare: One Family'S Journey,2000,5,leaving welfare one familys journey
Reisig,"Manrique Gutierrez, Alejandro",Print,"Living Fast: Immigrant Teenagers In ""The Monster""",2000,7,living fast immigrant teenagers monster
Brief,"Marcinkowski, Victoria",Print,Cyberhate,2000,1,cyberhate
Hancock,"Markey, Eileen",Print,Punishing Poverty,2000,2,punishing poverty
Agus,"Masibay, Kimberly Lee Youngsteadt",Print,Much Depends On Dinner,2000,4,much depends dinner
Holloway,"Max, Jill",Print,The Doctor Is Online: Psychotherapy On The Internet,2000,8,doctor online psychotherapy internet
"Johnson, D.","Maxfield, Jennifer",Video,Fifteen Years To Life: The Legacy Of The Rockefeller Drug Laws,2000,11,fifteen years life legacy rockefeller drug laws
Sreenivasan,"May, Michele",Print,I'M F.I.N.E.: How The White Lie Of Eating Disorders Is Spreading,2000,11,im fine white lie eating disorders spreading
Benedict,"Mcdaniels, Andrea",Print,Dances With Dollars: Indian Leader To Buy Back New York,2000,10,dances dollars indian leader buy back
Cornog,"Mcnamara, Kristen",Print,Running For Their Lives: After-School Athletic Programs In New York City,2000,11,running lives afterschool athletic programs
Joffe,"Megdal, Felicia",Radio,Bicycle Messengers,2000,2,bicycle messengers
Shapiro,"Melck, Tamara",Print,Mission: Survival,2000,2,mission survival
Goldstein,"Michne, Amanda",Print,"""Harlem United""",2000,2,harlem united
Hoyt,"Mineo, Liz",Print,Latino Politics In New York,2000,5,latino politics
Brief,"Moger-Williams, Ben",Print,Snake People: The Problem Of Chinese Illegal Immigrants,2000,8,snake people problem chinese illegal immigrants
Sharkey,"Molinari, Elena",Print,Curtain Call For The Belmont Italian-American Playhouse,2000,7,curtain call belmont italianamerican playhouse
Sreenivasan,"Monemvasitis, George",Print,"The Modern Day Greek Tragedy? : Greek Americans, Psychotherapy, And The Roots Of Stigma",2000,14,modern day greek tragedy greek americans psychotherapy roots stigma
Williston,"Morgan, Ben",Video,"Blue Sky Station: 8Th Avenue, ""New York'S 3Rd Chinatown""",2000,9,blue sky station 8th avenue yorks 3rd chinatown
Brief,"Moroney, Robin",Print,Erica'S Keeping It Off,2000,4,ericas keeping
Buckley,"Morrissey, Brian",Print,"Virtual University, Inc.",2000,3,virtual university inc
Wald,"Morton, Will",Print,The Rebound Of St. Bartholomew'S Church,2000,6,rebound st bartholomews church
Padwe,"Muchemi, Irene",Print,The Gun Culture Of America (A Profile),2000,7,gun culture america profile
"Johnson, D.","Mullin, Amanda",Print,Sold! Online Auctions Are Generating A New Class Of Entrepreneurs,2000,10,sold online auctions generating class entrepreneurs
Benedict,"Murphy, Meg",Print,God'S Messengers In Red Hook,2000,5,gods messengers red hook
Laventhol,"Murray, M. Christian",Print,Windfall Awaits Children Of The 401(K) Generation,2000,7,windfall awaits children 401k generation
Klatell,"Nelson, Jennifer",Print,Living It: Extreme Women Athletes,2000,5,living extreme women athletes
Wald,"Nelson, Kristi",Print,A Journey Into Madness,2000,4,journey madness
Hoyt,"Nessen, William",Print,East Timor Rises From The Ashes,2000,6,east timor rises ashes
Agus,"Nguyen, My Ha",Print,"Born In The U.S., Grow Up In China, Go To School In America: The Story Of The Littlest Victims Of The Snakeheads Or Human Smugglers",2000,25,born us grow china go school america story littlest victims snakeheads human smugglers
Mccarthy,"Nguyen, Daisy",Print,"""Life Doesn'T End Just Because You Have Aids:"" Clifton Mosley, Aids Activist",2000,12,life doesnt end aids clifton mosley aids activist
Cornog,"Norberg, Ylva",Print,Home-Made And Home-Delivered,2000,3,homemade homedelivered
Reisig,"Nwazota, Kristina",Print,Wlib: The Voice Of Black New York?,2000,7,wlib voice black
Porter,"Olshan, Jeremy",Print,Sadomasochism: From Seedy Rooms To Cd-Roms,2000,6,sadomasochism seedy rooms cdroms
Wolff,"Osterlund, Mattias",Print,When Angels Die,2000,3,angels die
Topping,"Parker, Stephen",Print,Sedition Law Ignites Debate Over Terrorism Prosecutions,2000,7,sedition law ignites debate terrorism prosecutions
Cross,"Pasha, Shaheen",Video,Beyond The Yellow Line: The Ronald Christopher Story,2000,8,beyond yellow line ronald christopher story
Wolff,"Paskin, Janet",Print,The Basketball Gravy Train Detailed: A Christmas Story From The Cba,2000,11,basketball gravy train detailed christmas story cba
Michel,"Patel, Czerina",Radio,Profile: John Steward (Homeless Panhandler),2000,5,profile john steward homeless panhandler
Tucher,"Petersen, Karen",Print,Inside The Selous Game Reserve: A Microcosm For Conservation,2000,9,inside selous game reserve microcosm conservation
Shapiro,"Phillips, Joshua",Print,Vanquished Dreams: The Story Of U.S. Sex Workers From The Former Soviet Union,2000,13,vanquished dreams story us sex workers former soviet union
Isaacs,"Phipps, Michelle",Print,The Barrel Children,2000,3,barrel children
Porter,"Pierce, Sheila Hanson",Print,The Mighty Aphrodite Of Woody Allen'S Casting Couch: Juliet Taylor,2000,10,mighty aphrodite woody allens casting couch juliet taylor
"Johnson, D.","Pike, Matthew",Print,Astroturf Vs. Natural Grass,2000,4,astroturf vs natural grass
Porter,"Polgreen, Lydia",Print,Throwaways: The Streetwalkers Of New York City,2000,7,throwaways streetwalkers
Holloway,"Pratt, Sara",Print,Caught Unaware: The Lack Of Fish Consumption Advisory Signs In New York City,2000,13,caught unaware lack fish consumption advisory signs
"Johnson, D.","Reardon, Kelly",Video,Fifteen Years To Life: The Legacy Of The Rockefeller Drug Laws,2000,11,fifteen years life legacy rockefeller drug laws
Navasky,"Rhone, Nedra",Print,The New York Amsterdam News: An Institution In Transition,2000,9,amsterdam news institution transition
Benedict,"Richards, Sarah",Print,Humanizing A Murderer: The Role Of Mitigation In Keeping Defendants Off Death Row,2000,13,humanizing murderer role mitigation keeping defendants death row
Cornog,"Richie, Brooke",Print,Men With Eating Disorders: Victims Of An Equal Opportunity Disease,2000,10,men eating disorders victims equal opportunity disease
Agus,"Rosenblatt, Joel",Print,Nypd Mute: Reporting In New York Under Rudolph W. Giuliani,2000,10,nypd mute reporting rudolph w giuliani
Porter,"Rubin, Marcus",Print,Destination War: New York-Kosovo Round-Trip,2000,5,destination war yorkkosovo roundtrip
"Johnson, D.","Russell, Abby",Print,"""Two Drink Minimum"": Rising To The Top Of Stand-Up Comedy",2000,10,two drink minimum rising top standup comedy
Wolff,"Russell, David",Print,A Fighting Chance,2000,3,fighting chance
Ross,"Ryan, Elizabeth",Print,The Gentrification Of Reading: Causes And Consequences Of Falling Mass Market Paperback Sales,2000,13,gentrification reading causes consequences falling mass market paperback sales
Buckley,"Saharko, Peter",Print,Satellite Shutdown: How Lobbyists Caused A Cloudy Reception,2000,8,satellite shutdown lobbyists caused cloudy reception
Mccarthy,"Sama, Gabriel",Print,Community Bridge: The Long Distance Relationship Between Mexicans In New York And Their Towns Of Origin,2000,16,community bridge long distance relationship mexicans towns origin
Agus,"Scheidnes, Jean",Print,No Way Out: Domestic Violence Among Chinese Illegal Immigrants,2000,9,way domestic violence among chinese illegal immigrants
Buckley,"Sector, Agnes Charlotte",Print,Conspicuous Consumption In The Boom Economy: Caterers Create More Than Food In An Age Of Excess,2000,16,conspicuous consumption boom economy caterers create food age excess
Muha,"Sentementes, Gus",Print,Turf War In New York Harbor: Who Is Piloting And Docking The Largest Tankers And Cargo Ships In The Ports Of New York And New Jersey? And Do They Have A License?,2000,32,turf war harbor piloting docking largest tankers cargo ships ports jersey license
Garland,"Sepulveda, Alfredo",Print,A Writer'S Frontier: The World Of Spanish Writing In The U.S.,2000,11,writers frontier world spanish writing us
Buckley,"Sheriff, Alieu",Print,Odyssey 2000: The Ghanaian Immigrant Experience In New York City,2000,10,odyssey 2000 ghanaian immigrant experience
Benedict,"Simmons, Dan",Print,The War That Won'T Go Away: Deportation Battles For Ira Ex-Prisoners In New York,2000,14,war wont go away deportation battles ira exprisoners
Wolff,"Singh, Lisa",Print,Secret Seed,2000,2,secret seed
Ross,"Sinnreich, Aram",Print,Thirteen Ways Of Looking At A Jazz Bar,2000,8,thirteen ways looking jazz bar
Sreenivasan,"Sirota, Stephanie",Print,The E-Commerce Explosion In New York City: How Consumers Buy Time Online,2000,12,ecommerce explosion consumers buy time online
Garland,"Siss, William",Print,Next Stage: The Future Of Black Theater In New York,2000,10,next stage future black theater
Brief,"Slutsky, Irina",Print,The Source: Hip Hop'S Paper Of Record,2000,7,source hip hops paper record
Porter,"Smith, Nell",Print,Baby Made By Three,2000,4,baby made three
Goldman,"Snyder, David",Print,"Pristina Sketches: Dr. Alan Ross, Tolstoy, And The Aftermath Of The War In Kosovo",2000,14,pristina sketches dr alan ross tolstoy aftermath war kosovo
Wolff,"Solomon, Cara",Print,The Chosen Few,2000,3,chosen
Reisig,"Southin, Barney",Print,Flooded,2000,1,flooded
Goldstein,"Speaks, Tiffany",Print,Opening Closed Lips: Ending The Silence Of Women'S Circumcision,2000,9,opening closed lips ending silence womens circumcision
Garland,"Stack, Alanna",Print,Out Of The Penalty Box: Women Sportswriters In The Year 2000,2000,11,penalty box women sportswriters year 2000
Holloway,"Starkey, Talia",Print,What'S So Bad About Biocontrol?,2000,5,whats bad biocontrol
Williston,"Strathmann, Chris",Print,Community Justice: A New Court Takes On 'Quality Of Life' Crime,2000,11,community justice court takes quality life crime
Padwe,"Stroh, Mark",Print,Elevator Safety In New York City,2000,6,elevator safety
Hoyt,"Strozier, Matthew",Print,"""The Father""",2000,2,father
Shapiro,"Tegnelia, Abby",Print,Party Promoters Search For The Pulse Of The Moment,2000,9,party promoters search pulse moment
Klatell,"Thada, Sirin",Print,Hiroshi Sunairi And The Art Of Being,2000,7,hiroshi sunairi art
Garland,"Tilghman, Andrew",Print,The Adoption And Safe Families Act: One Year Later,2000,9,adoption safe families act one year later
Ross,"Tiner, Sara",Print,Who'S Cooking In America?,2000,4,whos cooking america
Goldman,"Treffinger, Sarah",Print,The Rebirth Of Jersey City: Economic Development On The Hudson'S West Bank,2000,12,rebirth jersey economic development hudsons west bank
Hoyt,"Tuttle, Brad",Print,"Porn Stars, Possessed Clowns And The Fear Of The Dark Side: Inside The Real World Wrestling League",2000,17,porn stars possessed clowns fear dark side inside real world wrestling league
Klatell,"Uehara, Lee",Print,Motorcycling: An Inside Look,2000,4,motorcycling inside look
Janeway,"Valby, Karen",Print,The New York Music Industry: It'S A Sad Family Affair,2000,10,music industry sad family affair
Cornog,"Valenta, Mark",Print,Subway Surfers,2000,2,subway surfers
Buckley,"Van Sant, Will",Print,New York City'S Potter'S Field,2000,5,citys potters field
Wolff,"Vogell, Heather",Print,Policing Pollution: New York City'S Environmental Cops,2000,7,policing pollution citys environmental cops
Goldman,"Walmsley, P. Jane",Print,Dr. Lewis Goldfrank And Bellevue Emergency Department: All The People Under All Circumstances All The Time,2000,16,dr lewis goldfrank bellevue emergency department people circumstances time
Wolff,"Watson, Kristen",Print,Camp Laguardia: A Homeless Shelter Brings Big City Problems To A Small Town,2000,13,camp laguardia homeless shelter brings big problems small town
Brief,"Webber, Rebecca",Print,"America'S Unwanted: Six Million Strong, America'S Illegal Immigrants Live In Fear Of The Ins",2000,14,americas unwanted six million strong americas illegal immigrants live fear ins
"Johnson, G.","Weber, Janelle",Radio,Mexicans In Spanish Harlem: The Emerging Latino Group,2000,8,mexicans spanish harlem emerging latino group
Sreenivasan,"Wieting, Ayse",Print,A Cancer Industry?,2000,3,cancer industry
Michel,"Williams, Elliot",Radio,The Color Of Black Stand-Up Comedy,2000,6,color black standup comedy
Brief,"Wong, Michelle",Print,Twenty-First Century Nuns,2000,3,twentyfirst century nuns
Mccarthy,"Woodbury, Margaret",Print,Era: A Millennial Reckoning,2000,4,era millennial reckoning
Navasky,"Woodward, Brian",Print,Death Of A Journeyman,2000,4,death journeyman
Ross,"Yeh, Michael",Print,In Fear Of Junkies: The Politics Of Needle Exchange In New York City,2000,13,fear junkies politics needle exchange
Muha,"Yerawadekar, Sameer",Print,Disabled? Prove It! People With Back Pain Struggle To Get Social Security Disability Benefits,2000,14,disabled prove people back pain struggle get social security disability benefits
Navasky,"Zehr, Dan",Print,A View From The Inside: Intimate Look At Mentoring Reveals Both Hassles And Rewards,2000,14,view inside intimate look mentoring reveals hassles rewards
Dribben,"Zuckerman, Alicia",Radio,New York Voices,2000,3,voices
Pavlik,"Abebe, Moges",New Media,The Www As An Artistic Medium,2001,6,www artistic medium
Muha,"Ackerman, Julie",Print,Taking Control: Type 1 Diabetics Tell Their Stories,2001,8,taking control type 1 diabetics tell stories
Cornog,"Adams, Sandra J.",Print,Scatterbrained: Adults With Attention Deficit Disorder,2001,6,scatterbrained adults attention deficit disorder
Goldstein,"Algar, Selim A.",Print,Nocturnal New Jersey: Ecstasy Hits The Suburbs,2001,7,nocturnal jersey ecstasy hits suburbs
Hoyt,"Allyn, Richard",Print,Invisible Lives: Gay Teens In New York City'S Child Welfare System,2001,11,invisible lives gay teens citys child welfare system
Hoyt,"Amsel, Ruth",Print,Sub-Culture For Sale: The Mass Marketing Of Skateboarding,2001,8,subculture sale mass marketing skateboarding
Wald,"Anastassiou, Stephanie",Print,Marriage Through The Looking Glass,2001,5,marriage looking glass
Benedict,"Anderson, Christina",Print,Combating Hate Crimes: Four Swedish Dailies Fight Back,2001,8,combating hate crimes four swedish dailies fight back
Gordy,"Antonios, Sharon Hartwick",Print,"Women Caught In The Middle: Pro-Choice, Pro-Life Or Both",2001,9,women caught middle prochoice prolife
Benedict,"Apostle, Julia",Print,"Damned If You Do, Damned If You Don'T-- Remorse And The Criminal Defendant",2001,13,damned damned dont remorse criminal defendant
Pavlik,"Arnone, Michael",Print,Will Carnivore Bite The Hand That Feeds It?,2001,8,carnivore bite hand feeds
Shipp,"Atkins, Kimberly",Print,Forgotten Fighters,2001,2,forgotten fighters
Isaacs,"Avrahmi, Ze'Ev Biniamin",Print,I Am A Killer,2001,4,killer
Topping,"Bagnette, Laura Angela",Print,Becoming Whole Again: Sierra Leoneans Recapture Their Dignity,2001,8,becoming whole sierra leoneans recapture dignity
Williston,"Barnes, Alexis",Video,Ivf: An Offer Of Hope,2001,5,ivf offer hope
Ross,"Barrett, Lois",Print,Lifting The Veil: Domestic Violence In The South Asian Immigrant Community In New York,2001,14,lifting veil domestic violence south asian immigrant community
Benedict,"Barron, Porter",Print,Devilish Nuisance: A Catholic Priest'S Handling Of Demonic Activity In Modern America,2001,12,devilish nuisance catholic priests handling demonic activity modern america
Navasky,"Bean, Matt",Print,At Whose Expense? New York'S Controversial Kendra'S Law,2001,8,whose expense yorks controversial kendras law
Dribben,"Bedrin, Jaime",Radio,The Rockettes,2001,2,rockettes
Coyne,"Berner, Kristi",Print,The Women Of Belmont Park: A Jockey And A Trainer Try To Beat The Odds,2001,15,women belmont park jockey trainer try beat odds
Richman,"Beshkin, Abigail",Radio,Modern Day Cantors,2001,3,modern day cantors
Garland,"Biello, Kim",Print,Hungry For A Cure: My Personal Struggle With Ulcerative Colitis,2001,10,hungry cure personal struggle ulcerative colitis
Gordy,"Bishop, Holley",Print,"The Love Lottery: Dollars, Delight And Despair In The World Of Internet Dating",2001,13,love lottery dollars delight despair world internet dating
Wald,"Bjornsdottir, Sigridur Hagalin",Video,The Witches Of New York,2001,5,witches
Klatell,"Black, Cherie",Print,Tackling The Field: The Blitz Of The Women'S Professional Football League,2001,11,tackling field blitz womens professional football league
Buckley,"Bowser, Kelly",Print,Not Just Drag: Stories From New York City'S Transgender Community,2001,10,drag stories citys transgender community
Shapiro,"Brady, Jonann",Print,Running Beside The Wagon: Moderate Drinking In America,2001,8,running beside wagon moderate drinking america
Hancock,"Brennan Iii, Gerald D.",Print,Busy Signals And Dead Lines: The Problems Of Prepaid Phone Cards,2001,11,busy signals dead lines problems prepaid phone cards
Shipp,"Briscoe, Daren",Print,The Right Moves,2001,3,right moves
Benedict,"Bryan, Wendy Lee",Print,Better Therapy Through Ecstasy?,2001,4,better therapy ecstasy
Williston,"Burks, Jason",Video,Search For Extra-Terrestrial Intelligence,2001,4,search extraterrestrial intelligence
Pavlik/Sreenivasan,"Calvi, Pablo",New Media,"Exiled In New York: 25 Years Since The Beginning Of The Argentinean ""Dirty War""",2001,14,exiled 25 years since beginning argentinean dirty war
Benedict,"Carey, Meredith",Print,Prison Architecture: Can Design Rehabilitate?,2001,5,prison architecture design rehabilitate
Goldman,"Carlson, Catherine E.",Print,St. Teresa'S Church: Mother To The Lower East Side Community For 137 Years,2001,13,st teresas church mother lower east side community 137 years
Pavlik/Sreenivasan,"Carroll, Dore",New Media,Beneath The Hudson: Exploring The River'S Hidden Depths,2001,8,beneath hudson exploring rivers hidden depths
Porter,"Cerniglia , Alex",Print,Crossing Gender Lines With A Royal Mission,2001,7,crossing gender lines royal mission
Hartenstein,"Cheng, Katherine",Video,"A Place To Call Home: The Housing Crisis In Queens, New York",2001,12,place call home housing crisis queens
Hancock,"Cho, Hay-Mie",Print,Gays And Lesbians In Asian America: The Challenges,2001,8,gays lesbians asian america challenges
Wald,"Chow, May Chi",Video,The Witches Of New York,2001,5,witches
Janeway,"Chu, Lenora",Print,The Men Who Batter: Programs Or Prisons?,2001,7,men batter programs prisons
Joffe,"Clarke, Prue",Radio,The Battle For The Airwaves,2001,5,battle airwaves
Porter,"Close, Bryan",Print,John Patrick Shanley: Renaissance Man?,2001,5,john patrick shanley renaissance man
Benedict,"Cohen, Jeffrey B.",Print,"Bronx Park Bocce: Italian Men, An Aging Game And The Future Of Tradition",2001,13,bronx park bocce italian men aging game future tradition
Williston,"Coleman, Erin",Print,Ministering Beyond The Church Walls: An In-Depth Look At The Affects Of The Bush Faith-Based Initiative On Black Churches In New York City,2001,23,ministering beyond church walls indepth look affects bush faithbased initiative black churches
Shapiro,"Corcoran, Sean",Print,The Lives And Death Of A New York Stuntman,2001,9,lives death stuntman
Buckley,"Crawford, E.J.",Print,What'S A Nice Athlete Like You Doing Here?,2001,8,whats nice athlete like
Muha,"Culver, Rosemary",Print,Real Witches,2001,2,real witches
Ross,"Dalena, Douglas C.",Print,Bogged Down: Derelict Boats Litter The Shores And Waters Of New York City,2001,13,bogged derelict boats litter shores waters
Freedman,"Dalin, Nancy E.",Print,The Newest Space Race: Random House'S Online Attack,2001,8,newest space race random houses online attack
Seifert,"Das, Arun Kristian",Print,"Litigating Education: Distant School Reform, Step One",2001,7,litigating education distant school reform step one
Muha,"Dawson, Kate",Print,"""It'S Good For Your Character""",2001,5,good character
Garland,"Dec, Nina Rayburn",Print,Where The Girls Are: The Adventures Of Women Who Make Film,2001,11,girls adventures women make film
Svoboda,"Delventhal, Ivan",Print,"In The Line Of Duty: Thirty Years Later, A Slain Police Officer'S Family Lives With Pain'S Legacy",2001,17,line duty thirty years later slain police officers family lives pains legacy
Gordy,"Dimenichi , Sharlee Joy",Print,U. S. Socialism'S Last Stand,2001,5,u socialisms last stand
Porter,"Eaton, Timothy",Print,Life After Lockup: Seniors On Parole,2001,6,life lockup seniors parole
Sreenivasan,"Elbaum, Rachel",New Media,The Struggle For The Lower East Side,2001,7,struggle lower east side
Hancock,"El-Fil, Rana",Print,The United States Versus The World Court,2001,7,united states versus world court
Muha,"Englert, Jonathan",Print,Hurry Up Please It'S Time; A Disabled Daughter Must Leave Home,2001,11,hurry please time disabled daughter must leave home
Wald,"Ettedgui, Perlita",Print,"One Who Saves One Life, Saves The World Entire",2001,9,one saves one life saves world entire
Buckley,"Faber, Lindsay",Print,Marina'S Mission: A 22-Year-Old American Journalist Meets Her Match In Brighton Beach,2001,12,marinas mission 22yearold american journalist meets match brighton beach
Shipp,"Feeney, Kelly A.",Print,Planting Seeds For New Life On East 138Th Street,2001,9,planting seeds life east 138th street
Gordy,"Feibel, Carolyn",Print,Slavery'S Forgotten Children: Liberian Refugees In New York,2001,8,slaverys forgotten children liberian refugees
Ross,"Ferchaw, Lawrence",Print,Coming Out Again And Again: The Cycle In And Out Of New York'S Prisons,2001,14,coming cycle yorks prisons
Porter,"Finefrock , Camille",Print,Broken Promises: The Hidden Discrimination In New York City'S Public High Schools,2001,12,broken promises hidden discrimination citys public high schools
