advisor,author,project_format,title,year,title_word_count,title_clean
"Hancock, Lynnell","Lee, Grace Eunhye",Print,The Indie Bubble: The Long End Of The Video Game Tail,2015,11,indie bubble long end video game tail
"Hancock, Lynnell","Lee, Rebecca",Print,"For North Korean Refugees, Fresh Challenged Await In America",2015,9,north korean refugees fresh challenged await america
"Cooper, Ann","Lem, Pola",Print And Audio,The Rising Culture Of Entomophagy: Bug Eating In The United States,2015,11,rising culture entomophagy bug eating united states
"Kantrowitz, Barbara","Levine, Alexandra Sophie",Print,Hasidic Sex-Ed: The Cost Of Silence,2015,6,hasidic sexed cost silence
"Kantrowitz, Barbara","Levine, Alexandra Sophie",Print,Hasidic Sex-Ed: The Cost Of Silence,2015,6,hasidic sexed cost silence
"Kann, Peter","Lisitsina, Daria",Print,University Of Sing Sing: Higher Education In New York State Prisons,2015,11,university sing sing higher education state prisons
"Miller, Jennifer","Lokting, Britta",Print,"Sexually Harassed, Illegally Paid And Fired: One Waitress'S Fight To End The Sub-Minimum Wage In New York",2015,17,sexually harassed illegally paid fired one waitresss fight end subminimum wage
"Luhby, Tami","Lu, Seres",Print,New York Real Estate Agents Go Above & Beyond For Chinese Buyers,2015,12,real estate agents go beyond chinese buyers
"Coyne, Kevin","Lubetkin, Alexander",Print,Make Them Laugh,2015,3,make laugh
"Goldman, Ari","Lucas, Liza",Print,Doula Care In New York City: The Difficulties In Measuring Maternal Support,2015,12,doula care difficulties measuring maternal support
"Abarbanel, Stephanie","Lucking, Elizabeth",Print,"Man'S Best Friend, Even In Death",2015,6,mans best friend even death
"Stabiner, Karen","Luibrand, Shannon",Print,Living On A Prayer,2015,4,living prayer
"Holloway, Marguerite","Luna, Jennifer",Print,Bengali Spoken Here: Bilingual Education On The Rise In New York City,2015,12,bengali spoken bilingual education rise
"Coyne, Kevin","Macnaughton, Spencer",Print,Suffocated By Technology,2015,3,suffocated technology
"Miller, Jennifer","Mamelok, Chloe",Print,Accomplished Minors: The Plight Of Young Women With Children Fleeing From Central America,2015,13,accomplished minors plight young women children fleeing central america
"Span, Paula","Manohar, Aarthi",Print,Welcome To Campus: Last Call At Red Hook'S Bait And Tackle,2015,11,welcome campus last call red hooks bait tackle
"Stabiner, Karen","Margolin, Madison",Print,Millennials Experiment With Cooperative Living To Make It In New York,2015,11,millennials experiment cooperative living make
"Klatell, David","Marillier, Lou",Print And Dvd,Working Forever,2015,2,working forever
"Edsall, Thomas B.","Mark, Michelle",Print,Harlem'S Lost Boys: 103 Defendants And The Gang Case Against Them,2015,11,harlems lost boys 103 defendants gang case
"Goldman, Ari","Mcdermott, Nathan",Print,Battle Of El Barrio,2015,4,battle el barrio
"Maharidge, Dale","Mcgoogan, Cara",Print,Cantando Por La Libertad,2015,4,cantando por la libertad
"Miller, Jennifer","Mcgraw, Meridith",Print,Crossing The Aisle And Winning The Race: Efforts To Get More Women Elected And What It Means For Congress,2015,19,crossing aisle winning race efforts get women elected means congress
"Levinson, Jacob","Mendez, Ana Graciela",Print,The Forgotten Fight'S Last Battleground: The Lead Program At Montefiore,2015,10,forgotten fights last battleground lead program montefiore
"Tsiantar, Doris","Mesmer, Nardos Ghebremedhin",Print,Leaving Minnesota: Countering Violent Extremism In The Somali-American Community,2015,9,leaving minnesota countering violent extremism somaliamerican community
"Blair, Gwenda","Michallon, Clemence",Print,Online And On The Fence: From Pre-Anorexia To Pro-Recovery: How Online Communities Are Changing The Narrative Of Eating Disorders,2015,19,online fence preanorexia prorecovery online communities changing narrative eating disorders
"Pollak, Lisa","Miles, Samantha",Print,Same Sex Marriage In Native American Tribal Land,2015,8,sex marriage native american tribal land
"Stray, Jonathan","Miller, Alfred",Print And Data Dvd,Assessing The Effectiveness Of Word Clouds As A Reporting Tool,2015,10,assessing effectiveness word clouds reporting tool
"Cooper, Ann","Mohammad Raji, Kymelya",Print And Audio,"Talk, Uninterrupted",2015,2,talk uninterrupted
"Karr, Rick","Molle, Gregoire",Print And Dvd,Living On The Spectrum,2015,4,living spectrum
"Blum, David","Morgan, Elisabeth",Print,Spilling Up,2015,2,spilling
"Hoyt, Michael","Morton, Justin",Print,The Pat Schissel Story: A Mother'S Lonely And Brave Journey To Understanding That Her Son Has Autism,2015,17,pat schissel story mothers lonely brave journey understanding son autism
"Zuckerman, Jocelyn Craugh","Most, Anne",Print,The Frown Behind The Smile: A Look At Comedians And Issues Of Mental Health,2015,14,frown behind smile look comedians issues mental health
"Coyne, Kevin","Mueller, Saira",Print,"From 'Great Things Start With A Hug' To 'One Last Hug,' The Story Of An App Called Cuddlr",2015,18,great things start hug one last hug story app called cuddlr
"Tedeschi, Robert","Mullaly, Catherine M.",Print,The Doctor Will Now Be Killed: 610 War Crimes & Counting #Insidesyria,2015,12,doctor killed 610 war crimes counting insidesyria
"Wald, Richard","Murtha, Jack",Print,Finances On The Fringe: The Business Behind Conspiracy Theories,2015,9,finances fringe business behind conspiracy theories
"Luhby, Tami","Muto, Jordan",Print,Fashion Trucks Take Over The Streets Of New York,2015,9,fashion trucks take streets
"Luhby, Tami","Mzezewa, Tariro",Print,Craving To Belong: Eating Disorders And Gay Men,2015,8,craving belong eating disorders gay men
"Karr, Rick","Molle, Gregoire",Print And Dvd,Living On The Spectrum,2015,4,living spectrum
"Karr, Rick","Molle, Gregoire",Print And Dvd,Living On The Spectrum,2015,4,living spectrum
"Blum, David","Morgan, Elisabeth",Print,Spilling Up,2015,2,spilling
"Hoyt, Michael","Morton, Justin",Print,The Pat Schissel Story: A Mother'S Lonely And Brave Journey To Understanding That Her Son Has Autism,2015,17,pat schissel story mothers lonely brave journey understanding son autism
"Zuckerman, Jocelyn Craugh","Most, Anne",Print,The Frown Behind The Smile: A Look At Comedians And Issues Of Mental Health,2015,14,frown behind smile look comedians issues mental health
"Coyne, Kevin","Mueller, Saira",Print,"From 'Great Things Start With A Hug' To 'One Last Hug,' The Story Of An App Called Cuddlr",2015,18,great things start hug one last hug story app called cuddlr
"Tedeschi, Robert","Mullaly, Catherine M.",Print,The Doctor Will Now Be Killed: 610 War Crimes & Counting #Insidesyria,2015,12,doctor killed 610 war crimes counting insidesyria
"Wald, Richard","Murtha, Jack",Print,Finances On The Fringe: The Business Behind Conspiracy Theories,2015,9,finances fringe business behind conspiracy theories
"Luhby, Tami","Muto, Jordan",Print,Fashion Trucks Take Over The Streets Of New York,2015,9,fashion trucks take streets
"Luhby, Tami","Mzezewa, Tariro",Print,Craving To Belong: Eating Disorders And Gay Men,2015,8,craving belong eating disorders gay men
"Burleigh, Nina","Nero, Charmaine",Print,Missing Black Women In America,2015,5,missing black women america
"Span, Paula","Nguyen, Kay",Print,Olympic Dreams: Synchronized Skaters Set Sights On Pyeongchang,2015,8,olympic dreams synchronized skaters set sights pyeongchang
"Schellmann, Hilke","Niu, Muge",Print,The Return Journey: Coming Back To Family After Prison,2015,9,return journey coming back family prison
"Gissler, Sig","Nouh, Yasmin",Print,Pill Puzzle: Hiv Wonder Drug Stirs Hope And Unease,2015,9,pill puzzle hiv wonder drug stirs hope unease
"Depalma, Anthony","Oberoi, Reshmi Kaur",Print,Conflict By Design,2015,3,conflict design
"Burleigh, Nina","Ogbuehi, Amanda",Print,Children In Flight: The Border Crisis And The Complex Issues Unaccompanied Children Face In Tackling The U.S. Immigration System,2015,19,children flight border crisis complex issues unaccompanied children face tackling us immigration system
"Levinson, Jacob","Ok, Hoon",Print,Truvada Whores  : Rethinking Gay Sexuality,2015,7,truvada whores rethinking gay sexuality
"Schecter, B.J.","Orlando, Marian Ella",Print,How Vegetarianism Is Seeping Into New York City'S Public School Lunchrooms,2015,11,vegetarianism seeping citys public school lunchrooms
