issue,time,title,type,url,weekday
BUDGET & SPENDING,"May 23, 2017",Press Briefing on the FY2018 Budget,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-fy2018-budget-052317/,Tuesday
not found,"May 22, 2017",Off-camera Briefing of the FY18 Budget by Office of Management and Budget Director Mick Mulvaney,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/off-camera-briefing-fy18-budget-office-management-budget-director-mick-mulvaney-052217/,Monday
FOREIGN POLICY,"May 21, 2017",Readout of President Donald J. Trump’s Meeting with President Abdel Fattah Al Sisi of Egypt,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-president-abdel-fattah-al-sisi-egypt-3/,Sunday
FOREIGN POLICY,"May 21, 2017",President Trump’s Speech to the Arab Islamic American Summit,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-trumps-speech-arab-islamic-american-summit/,Sunday
not found,"May 20, 2017",Statement from President Donald J. Trump on Cuban Independence Day,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-cuban-independence-day/,Saturday
not found,"May 20, 2017",Remarks by the Vice President at Grove City College Commencement,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-grove-city-college-commencement/,Saturday
FOREIGN POLICY,"May 20, 2017",Readout of President Donald J. Trump’s Meetings with Saudi Arabia’s Leaders,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meetings-saudi-arabias-leaders/,Saturday
not found,"May 20, 2017",Joint Strategic Vision Declaration for the United States of America and the Kingdom of Saudi Arabia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/joint-strategic-vision-declaration-united-states-america-kingdom-saudi-arabia/,Saturday
FOREIGN POLICY,"May 19, 2017",Readout of the Vice President’s Meeting with President Juan Manuel Santos of Colombia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-meeting-president-juan-manuel-santos-colombia/,Friday
FOREIGN POLICY,"May 19, 2017",Readout of President Donald J. Trump’s Meeting with President Juan Manuel Santos of Colombia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-president-juan-manuel-santos-colombia/,Friday
FOREIGN POLICY,"May 19, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-24/,Friday
LAND & AGRICULTURE,"May 19, 2017",President Donald J. Trump Approves Idaho Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-idaho-disaster-declaration-3/,Friday
not found,"May 19, 2017",Fall 2017 White House Internship Program,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/fall-2017-white-house-internship-program/,Friday
FOREIGN POLICY,"May 18, 2017",Remarks by President Trump and President Santos of Colombia in Joint Press Conference,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-santos-colombia-joint-press-conference/,Thursday
ECONOMY & JOBS,"May 18, 2017",Remarks by the Vice President at the US Chamber of Commerce’s Invest in America Summit,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-us-chamber-commerces-invest-america-summit/,Thursday
not found,"May 18, 2017",Melania Trump Announces Inaugural Foreign Trip as First Lady of the United States,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/melania-trump-announces-inaugural-foreign-trip-first-lady-united-states/,Thursday
not found,"May 17, 2017",Remarks by Vice President Pence at a Reception for Asian American and Pacific Islander Heritage Month,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-reception-asian-american-pacific-islander-heritage-month/,Wednesday
not found,"May 17, 2017",Remarks by President Trump at United States Coast Guard Academy Commencement Ceremony,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-united-states-coast-guard-academy-commencement-ceremony/,Wednesday
LAW & JUSTICE,"May 17, 2017",President Donald J. Trump Signs H.J.Res. 66 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-j-res-66-law/,Wednesday
LAND & AGRICULTURE,"May 16, 2017",President Donald J. Trump Signs H.R. 274 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-274-law/,Tuesday
