issue,time,title,type,url,weekday
FOREIGN POLICY,"Apr 26, 2018",Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-emmanuel-macron-france-16/,Thursday
BUDGET & SPENDING,"Apr 25, 2018",Remarks by Vice President Pence at “Tax Cuts to Put America First” Event,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-tax-cuts-put-america-first-event-7/,Wednesday
not found,"Apr 25, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-042518/,Wednesday
NATIONAL SECURITY & DEFENSE,"Apr 25, 2018",What You Need to Know About the Effective Entry Restrictions Protecting Our National Security,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/need-know-effective-entry-restrictions-protecting-national-security/,Wednesday
FOREIGN POLICY,"Apr 25, 2018",Remarks by President Trump and President Macron of France at State Dinner,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-macron-france-state-dinner/,Wednesday
not found,"Apr 24, 2018",Expected Attendees at Tonight’s Dinner in Honor of His Excellency Emmanuel Macron President of the French Republic and Mrs. Brigitte Macron,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/expected-attendees-tonights-dinner-honor-excellency-emmanuel-macron-president-french-republic-mrs-brigitte-macron/,Tuesday
FOREIGN POLICY,"Apr 24, 2018",Remarks by Vice President Pence and President Macron of France at State Luncheon,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-president-macron-france-state-luncheon/,Tuesday
FOREIGN POLICY,"Apr 24, 2018",Statement by the Press Secretary on Nicaragua,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-nicaragua/,Tuesday
FOREIGN POLICY,"Apr 24, 2018",Remarks by President Trump and President Macron of France in Joint Press Conference,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-macron-france-joint-press-conference/,Tuesday
not found,"Apr 24, 2018",Statement by the President on Armenian Remembrance Day 2018,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-armenian-remembrance-day-2018/,Tuesday
FOREIGN POLICY,"Apr 24, 2018",Remarks by President Trump and President Macron of France Before Restricted Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-macron-france-restricted-bilateral-meeting/,Tuesday
not found,"Apr 24, 2018",Readout of First Lady Melania Trump’s Visit to the National Gallery of Art,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-visit-national-gallery-art/,Tuesday
FOREIGN POLICY,"Apr 24, 2018",Remarks by President Trump and President Macron Before Expanded Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-macron-expanded-bilateral-meeting/,Tuesday
FOREIGN POLICY,"Apr 24, 2018",Remarks by President Trump and President Macron of France at Arrival Ceremony,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-macron-france-arrival-ceremony/,Tuesday
not found,"Apr 23, 2018",Statement from the Press Secretary on Committee Approval of Secretary of State-designate Mike Pompeo,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-committee-approval-secretary-state-designate-mike-pompeo/,Monday
not found,"Apr 23, 2018","Statement by the Press Secretary on the Tragedy in Toronto, Canada",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-tragedy-toronto-canada/,Monday
FOREIGN POLICY,"Apr 23, 2018",Statement by the President on the Signing of H.R. 3445,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-signing-h-r-3445/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Apr 23, 2018",Remarks by Vice President Pence at Meeting with NASA Senior Leadership,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-meeting-nasa-senior-leadership/,Monday
not found,"Apr 23, 2018",Remarks by Vice President Pence at Swearing-In Ceremony of NASA Administrator Jim Bridenstine and Call to the International Space Station,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-swearing-ceremony-nasa-administrator-jim-bridenstine-call-international-space-station/,Monday
not found,"Apr 23, 2018",Vice President Mike Pence Announces Lieutenant General (Ret) Keith Kellogg as National Security Advisor,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/vice-president-mike-pence-announces-lieutenant-general-ret-keith-kellogg-national-security-advisor/,Monday
FOREIGN POLICY,"Apr 23, 2018",President Donald J. Trump Signs H.R. 3445 and H.R. 3979 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-3445-h-r-3979-law/,Monday
FOREIGN POLICY,"Apr 23, 2018",President Donald J. Trump And President Emmanuel Macron Continue To Build The Trans-Atlantic Alliance,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-president-emmanuel-macron-continue-build-trans-atlantic-alliance/,Monday
not found,"Apr 23, 2018",Second Lady Karen Pence Adds to the Official China Collection at the Vice President’s Residence,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/second-lady-karen-pence-adds-official-china-collection-vice-presidents-residence/,Monday
FOREIGN POLICY,"Apr 23, 2018",Readout of President Donald J. Trump’s Call with President Sauli Niinistö of Finland,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-sauli-niinisto-finland/,Monday
not found,"Apr 23, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-042318/,Monday
SOCIAL PROGRAMS,"Apr 23, 2018",Secretary Carson: “Unlocking America’s Full Potential”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/secretary-carson-unlocking-americas-full-potential/,Monday
ECONOMY & JOBS,"Apr 23, 2018",Remarks by CEA Chairman Kevin Hassett to New York Federal Reserve Bank,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-cea-chairman-kevin-hassett-new-york-federal-reserve-bank/,Monday
not found,"Apr 23, 2018",Editorial Boards Across The Country Call For Mike Pompeo’s Confirmation,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/editorial-boards-across-country-call-mike-pompeos-confirmation/,Monday
not found,"Apr 23, 2018",First Lady Melania Trump Releases Details for the Trump Administration’s First State Visit,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/first-lady-melania-trump-releases-details-trump-administrations-first-state-visit/,Monday
not found,"Apr 22, 2018","Presidential Message on Earth Day, 2018",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-earth-day-2018/,Sunday
not found,"Apr 21, 2018",Statement from First Lady Melania Trump on Barbara Bush,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-first-lady-melania-trump-barbara-bush/,Saturday
BUDGET & SPENDING,"Apr 20, 2018",Remarks by Vice President Pence at “Tax Cuts to Put America First” Event,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-tax-cuts-put-america-first-event-6/,Friday
not found,"Apr 20, 2018",Photos of the Week,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/photos-of-the-week-042018/,Friday
NATIONAL SECURITY & DEFENSE,"Apr 20, 2018",White House National Security Advisor Announces Senior Staff Appointment,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/white-house-national-security-advisor-announces-senior-staff-appointment/,Friday
not found,"Apr 20, 2018",Background Press Briefing on the Upcoming State Visit with President Macron of France,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/background-press-briefing-upcoming-state-visit-president-macron-france-042318/,Friday
not found,"Apr 20, 2018",Op-Eds and Editorials Call for Mike Pompeo to be Confirmed as Secretary of State,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/op-eds-editorials-call-mike-pompeo-confirmed-secretary-state/,Friday
LAND & AGRICULTURE,"Apr 19, 2018",President Donald J. Trump Amends Resighini Rancheria Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-resighini-rancheria-disaster-declaration/,Thursday
FOREIGN POLICY,"Apr 19, 2018",Readout of Vice President Mike Pence’s Meeting with German Vice Chancellor and Minister of Finance Olaf Scholz,not found,https://www.whitehouse.gov/briefings-statements/readout-vice-president-mike-pences-meeting-german-vice-chancellor-minister-finance-olaf-scholz/,Thursday
NATIONAL SECURITY & DEFENSE,"Apr 19, 2018",Text of a Letter to Certain Congressional Committees Regarding a Cyber Policy Report,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-certain-congressional-committees-regarding-cyber-policy-report/,Thursday
NATIONAL SECURITY & DEFENSE,"Apr 19, 2018","Remarks by President Trump After Briefing with Joint Interagency Task Force-South, NORTHCOM, and SOUTHCOM",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-briefing-joint-interagency-task-force-south-northcom-southcom/,Thursday
NATIONAL SECURITY & DEFENSE,"Apr 19, 2018",Statement by the Press Secretary on Arms Transfer and Unmanned Aerial Systems Export Reforms,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-arms-transfer-unmanned-aerial-systems-export-reforms/,Thursday
NATIONAL SECURITY & DEFENSE,"Apr 19, 2018",President Donald J. Trump Visits Joint Interagency Task Force South,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-visits-joint-interagency-task-force-south/,Thursday
FOREIGN POLICY,"Apr 18, 2018",Remarks by President Trump and Prime Minister Abe of Japan at a Dinner Reception,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-dinner-reception/,Wednesday
FOREIGN POLICY,"Apr 18, 2018",President Donald J. Trump’s Summit Meeting with Prime Minister Shinzo Abe,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-summit-meeting-prime-minister-shinzo-abe/,Wednesday
ECONOMY & JOBS,"Apr 18, 2018",WTAS: Support for the Trump Administration’s Approval of Opportunity Zones,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/wtas-support-trump-administrations-approval-opportunity-zones/,Wednesday
FOREIGN POLICY,"Apr 18, 2018",Remarks by President Trump at Working Lunch with Prime Minister Abe of Japan,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-working-lunch-prime-minister-abe-japan/,Wednesday
not found,"Apr 18, 2018","Readout of First Lady Melania Trump’s Visit to the Flagler Museum in Palm Beach, Florida",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-visit-flagler-museum-palm-beach-florida/,Wednesday
LAND & AGRICULTURE,"Apr 18, 2018",President Donald J. Trump Amends Pueblo of Acoma Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-pueblo-acoma-disaster-declaration/,Wednesday
FOREIGN POLICY,"Apr 18, 2018",Remarks by President Trump and Prime Minister Abe of Japan in Joint Press Conference,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-joint-press-conference/,Wednesday
IMMIGRATION,"Apr 18, 2018",Statement by the Press Secretary Calling on Congress to Fix Loopholes in our Immigration Laws,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-calling-congress-fix-loopholes-immigration-laws/,Wednesday
FOREIGN POLICY,"Apr 18, 2018",Statement from the Press Secretary on the Visit of Chancellor Angela Merkel of Germany,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-chancellor-angela-merkel-germany/,Wednesday
LAND & AGRICULTURE,"Apr 17, 2018",President Donald J. Trump Amends Hoopa Valley Tribe Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-hoopa-valley-tribe-disaster-declaration/,Tuesday
not found,"Apr 17, 2018",Statement from Vice President Mike Pence and Karen Pence on the Passing of Former First Lady Barbara Bush,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-vice-president-mike-pence-karen-pence-passing-former-first-lady-barbara-bush/,Tuesday
not found,"Apr 17, 2018",Statement from the President on the Passing of Former First Lady Barbara Bush,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-passing-former-first-lady-barbara-bush/,Tuesday
not found,"Apr 17, 2018",Statement from First Lady Melania Trump on the Passing of Barbara Bush,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-first-lady-melania-trump-passing-barbara-bush/,Tuesday
FOREIGN POLICY,"Apr 17, 2018",Remarks by President Trump and Prime Minister Abe of Japan Before Restricted Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-restricted-bilateral-meeting/,Tuesday
LAND & AGRICULTURE,"Apr 17, 2018",President Donald J. Trump Approves Ohio Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-ohio-disaster-declaration/,Tuesday
FOREIGN POLICY,"Apr 17, 2018","Remarks by President Trump and Prime Minister Abe of Japan Before Bilateral Meeting | Mar-a-Lago, FL",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-bilateral-meeting-mar-lago-fl/,Tuesday
BUDGET & SPENDING,"Apr 17, 2018",Saying Goodbye to an Outdated Tax Code,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/saying-goodbye-outdated-tax-code/,Tuesday
not found,"Apr 17, 2018",Press Briefing by NEC Director and Assistant to the President for Economic Policy Larry Kudlow and NSC Senior Director for Asian Affairs Matthew Pottinger on the Official Working Visit of Prime Minister Shinzo Abe of Japan,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-nec-director-assistant-president-economic-policy-larry-kudlow-nsc-senior-director-asian-affairs-matthew-pottinger-official-working-visit-prime-minist-041718/,Tuesday
FOREIGN POLICY,"Apr 17, 2018",President Donald J. Trump and Prime Minister Shinzo Abe are Working Together to Strengthen the U.S.-Japan Alliance,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-prime-minister-shinzo-abe-working-together-strengthen-u-s-japan-alliance/,Tuesday
HEALTHCARE,"Apr 17, 2018",Readout for Second Lady Karen Pence’s Visit to Children’s National Health System,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-second-lady-karen-pences-visit-childrens-national-health-system/,Tuesday
LAND & AGRICULTURE,"Apr 17, 2018",President Donald J. Trump Approves West Virginia Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-west-virginia-disaster-declaration/,Tuesday
BUDGET & SPENDING,"Apr 17, 2018","Out With The Old, In With The New: Tax Cuts And Reforms That Look Out For Hardworking Taxpayers",FACT SHEETS,https://www.whitehouse.gov/briefings-statements/old-new-tax-cuts-reforms-look-hardworking-taxpayers/,Tuesday
INFRASTRUCTURE & TECHNOLOGY,"Apr 16, 2018","Remarks by Vice President Pence at the 34th Space Symposium | Colorado Springs, CO",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-34th-space-symposium-colorado-springs-co/,Monday
FOREIGN POLICY,"Apr 16, 2018",President Trump Announces Presidential Delegation for the Official Working Visit with Prime Minister Abe of Japan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-trump-announces-presidential-delegation-official-working-visit-prime-minister-abe-japan/,Monday
BUDGET & SPENDING,"Apr 16, 2018","Remarks by President Trump at the Tax Cuts for Florida Small Businesses Roundtable | Hialeah, FL",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-cuts-florida-small-businesses-roundtable-hialeah-fl/,Monday
BUDGET & SPENDING,"Apr 16, 2018",President Donald J. Trump’s Tax Cuts Will Generate Greater Economic Opportunity For All,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-tax-cuts-will-generate-greater-economic-opportunity/,Monday
not found,"Apr 16, 2018",Press Gaggle by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-by-press-secretary-sarah-sanders-041618/,Monday
NATIONAL SECURITY & DEFENSE,"Apr 15, 2018",Text of a Letter from the President to the Speaker of the House of Representatives and the President Pro Tempore of the Senate,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-pro-tempore-senate-3/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Statement from the Press Secretary on the Visit of President Muhammadu Buhari of Nigeria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-president-muhammadu-buhari-nigeria/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Remarks by Vice President Pence at First Plenary Session of the Summit of the Americas,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-by-vice-president-pence-at-first-plenary-session-of-the-summit-of-the-americas/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Readout of Vice President Mike Pence’s meeting with President Martín Vizcarra of Peru,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-of-vice-president-mike-pences-meeting-with-president-martin-vizcarra-of-peru/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Readout of Vice President Mike Pence’s Meeting with President Enrique Peña Nieto of Mexico,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-of-vice-president-mike-pences-meeting-with-president-enrique-pena-nieto-of-mexico/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Readout of Vice President Mike Pence’s Meeting with Prime Minister Justin Trudeau of Canada,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-of-vice-president-mike-pences-meeting-with-prime-minister-justin-trudeau-of-canada/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Readout of Vice President Mike Pence’s Meeting with President Sebastian Piñera of Chile,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-of-vice-president-mike-pences-meeting-with-president-sebastian-pinera-of-chile/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Readout of Vice President Mike Pence’s Meeting with President Juan Manuel Santos of Colombia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-of-vice-president-mike-pences-meeting-with-president-juan-manuel-santos-of-colombia/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Remarks by Vice President Pence in Meeting with Cuban Dissident,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-meeting-cuban-dissident/,Sunday
FOREIGN POLICY,"Apr 15, 2018",Remarks by Vice President Pence in Meeting with Venezuelan Opposition Leaders,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-meeting-venezuelan-opposition-leaders/,Sunday
FOREIGN POLICY,"Apr 14, 2018",Readout of President Donald J. Trump’s Call with Prime Minister Theresa May of the United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-theresa-may-united-kingdom-12/,Saturday
FOREIGN POLICY,"Apr 14, 2018",Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-emmanuel-macron-france-15/,Saturday
NATIONAL SECURITY & DEFENSE,"Apr 14, 2018",Readout of National Security Advisor John Bolton’s Call with National Security Advisor Sheikh Tahnoon Bin Zayed of the United Arab Emirates,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-national-security-advisor-john-boltons-call-national-security-advisor-sheikh-tahnoon-bin-zayed-united-arab-emirates/,Saturday
NATIONAL SECURITY & DEFENSE,"Apr 13, 2018",President Donald J. Trump Has Taken Action to Stop Syrian Chemical Weapons Use,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-taken-action-stop-syrian-chemical-weapons-use/,Friday
NATIONAL SECURITY & DEFENSE,"Apr 13, 2018",United States Government Assessment of the Assad Regime’s Chemical Weapons Use,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/united-states-government-assessment-assad-regimes-chemical-weapons-use/,Friday
NATIONAL SECURITY & DEFENSE,"Apr 13, 2018",Statement by President Trump on Syria,REMARKS,https://www.whitehouse.gov/briefings-statements/statement-president-trump-syria/,Friday
ECONOMY & JOBS,"Apr 13, 2018",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-04132018/,Friday
not found,"Apr 13, 2018",Photos of the Week,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/photos-week-041318/,Friday
BUDGET & SPENDING,"Apr 13, 2018",Text of a Letter from the President to the Speaker of the House of Representatives,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-4/,Friday
not found,"Apr 13, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-041318/,Friday
not found,"Apr 13, 2018",President Donald J. Trump Signs H.R. 4547 and S. 772 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-4547-s-772-law/,Friday
LAW & JUSTICE,"Apr 13, 2018",Statement from the Press Secretary Regarding the Pardon of I. “Scooter” Lewis Libby,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-pardon-scooter-lewis-libby/,Friday
LAND & AGRICULTURE,"Apr 13, 2018",What You Need To Know About President Donald J. Trump’s Success Opening International Markets To U.S. Agriculture,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/need-know-president-donald-j-trumps-success-opening-international-markets-u-s-agriculture/,Friday
FOREIGN POLICY,"Apr 12, 2018",Readout of President Donald J. Trump’s Call with Prime Minister Theresa May of the United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-theresa-may-united-kingdom-11/,Thursday
BUDGET & SPENDING,"Apr 12, 2018",Remarks by President Trump on Tax Cuts for American Workers,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-cuts-american-workers/,Thursday
ECONOMY & JOBS,"Apr 12, 2018",President Donald J. Trump Is Reducing Barriers That Are Holding Back American Manufacturers,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-reducing-barriers-holding-back-american-manufacturers/,Thursday
not found,"Apr 12, 2018",Remarks by President Trump in Meeting with Governors and Members of Congress,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-governors-members-congress/,Thursday
BUDGET & SPENDING,"Apr 12, 2018",President Donald J. Trump’s Tax Cuts Are Energizing American Employers Of All Sizes,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-tax-cuts-energizing-american-employers-sizes/,Thursday
LAND & AGRICULTURE,"Apr 12, 2018",President Donald J. Trump Approves Kentucky Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-kentucky-disaster-declaration/,Thursday
FOREIGN POLICY,"Apr 11, 2018",Readout of President Donald J. Trump’s Call with President Recep Tayyip Erdogan of Turkey,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-recep-tayyip-erdogan-turkey-7/,Wednesday
not found,"Apr 11, 2018",Excerpts from CIA Director Pompeo’s Prepared Remarks,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/excerpts-cia-director-pompeos-prepared-remarks/,Wednesday
not found,"Apr 11, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-by-press-secretary-sarah-sanders-041118/,Wednesday
LAW & JUSTICE,"Apr 11, 2018",President Donald J. Trump Signs H.R. 1865 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-1865-law/,Wednesday
LAW & JUSTICE,"Apr 11, 2018","Remarks by President Trump at Signing of H.R. 1865, the “Allow States and Victims to Fight Online Sex Trafficking Act of 2017”",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-signing-h-r-1865-allow-states-victims-fight-online-sex-trafficking-act-2017/,Wednesday
LAW & JUSTICE,"Apr 11, 2018","By Signing The Allow States And Victims To Fight Online Sex Trafficking Act, President Donald J. Trump Provides Invaluable Tools Needed To Fight The Scourge Of Sex Trafficking",FACT SHEETS,https://www.whitehouse.gov/briefings-statements/signing-allow-states-victims-fight-online-sex-trafficking-act-president-donald-j-trump-provides-invaluable-tools-needed-fight-scourge-sex-trafficking/,Wednesday
not found,"Apr 11, 2018",Statement from Vice President Mike Pence on Speaker Ryan’s Decision to Not Seek Re-Election,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-vice-president-mike-pence-speaker-ryans-decision-not-seek-re-election/,Wednesday
FOREIGN POLICY,"Apr 10, 2018",Readout Of President Donald J. Trump’s Meeting With Amir Tamim Bin Hamad Al Thani,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-amir-tamim-bin-hamad-al-thani/,Tuesday
ECONOMY & JOBS,"Apr 10, 2018",Statement from the Press Secretary Supporting the Goals of the Better Utilization of Investments Leading to Development (BUILD) Act of 2018,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-supporting-goals-better-utilization-investments-leading-development-build-act-2018/,Tuesday
SOCIAL PROGRAMS,"Apr 10, 2018",President Donald J. Trump’s Economic Mobility Reforms Will Restore Independence and Dignity to Millions of Americans,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-economic-mobility-reforms-will-restore-independence-dignity-millions-americans/,Tuesday
NATIONAL SECURITY & DEFENSE,"Apr 10, 2018",Statement by the Press Secretary Regarding the Presidential Proclamation to Lift Entry Restrictions for Nationals of the Republic of Chad,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-presidential-proclamation-lift-entry-restrictions-nationals-republic-chad/,Tuesday
not found,"Apr 10, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-041018/,Tuesday
not found,"Apr 10, 2018",Remarks by President Trump Welcoming the 2017 NCAA Football National Champions Alabama Crimson Tide,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-welcoming-2017-ncaa-football-national-champions-alabama-crimson-tide/,Tuesday
IMMIGRATION,"Apr 10, 2018",Gov. Doug Ducey: “National Guard Needed at Border”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/gov-doug-ducey-national-guard-needed-border/,Tuesday
FOREIGN POLICY,"Apr 10, 2018",Remarks by President Trump and Amir Tamim Bin Hamad Al Thani of the State of Qatar Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-amir-tamim-bin-hamad-al-thani-state-qatar-bilateral-meeting/,Tuesday
INFRASTRUCTURE & TECHNOLOGY,"Apr 10, 2018",What They Are Saying: Support For President Donald J. Trump’s Action To Improve Federal Infrastructure Permitting,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/saying-support-president-donald-j-trumps-action-improve-federal-infrastructure-permitting/,Tuesday
